nmspc_cd|obj_id|ver_nbr|nm|actv_ind|appl_id|
KR-BUS|5B960CFDBB370FDFE0404F8189D83CBD|1.0|Service Bus|Y|RICE|
KR-IDM|61645D045B0005D7E0404F8189D849B1|1.0|Identity Management|Y|RICE|
KR-KRAD|B5BA065471F8326EE0404F8189D87F9A|1.0|Kuali Rapid Application Development|Y|RICE|
KR-NS|53680C68F595AD9BE0404F8189D80A6C|1.0|Kuali Nervous System|Y|RICE|
KR-NTFCN|5B960CFDBB360FDFE0404F8189D83CBD|1.0|Notification|Y|RICE|
KR-RULE|AE3195EDFF2300E2E0404F8189D822AE|1.0|Kuali Rules|Y|RICE|
KR-SYS|5B960CFDBB390FDFE0404F8189D83CBD|1.0|Enterprise Infrastructure|Y|RICE|
KR-WKFLW|5E1D690C419B3E2EE0404F8189D82677|0.0|Workflow|Y|RICE|
KUALI|5ADF18B6D4817954E0404F8189D85002|1.0|Kuali Systems|Y||
