vndr_supp_dvrst_cd|obj_id|ver_nbr|vndr_supp_dvrst_desc|dobj_maint_cd_actv_ind|
8A|0C41E10B-BF92-26F7-FB83-2391BCCA13BF|1.0|8(A)|Y|
DB|827271CE-0830-C915-7F36-DF531602653F|1.0|DISABLED|Y|
DV|93F8D388-4FCB-26C8-3FF7-6C18D02EB702|1.0|DISABLED VETERAN OWNED|Y|
HZ|CDFA83AC-514C-B88F-C1EF-EF19434928D0|1.0|HUBZONE|Y|
MI|A887BD03-79BB-9870-1C75-041702D0366D|1.0|MBE|Y|
SB|DEF98788-5BE8-6679-001E-329A1AA59AC7|1.0|SMALL BUSINESS|Y|
SD|4C24882F-2A1B-AC17-72F4-3184246DA049|1.0|SMALL DISADVANTAGED BUSINESS|Y|
VE|4B3149CA-5989-0962-8EA9-4A2CE489B526|1.0|VETERAN OWNED|Y|
WO|708CF382-CF52-6978-6EE6-566DB626A6E7|1.0|WOMAN OWNED BUSINESS|Y|
