fin_coa_cd|org_cd|org_rtng_mdl_nm|acct_dlgt_unvl_id|fdoc_typ_cd|obj_id|ver_nbr|fdoc_aprv_from_amt|fdoc_aprv_to_amt|acct_dlgt_prmrt_cd|acct_dlgt_start_dt|row_actv_ind|
BL|BUS|BUSINESS|4597402875|ACCT|11400DC40382041EE043814FD881041E|1.0|||Y|20040205000000|Y|
BL|BUS|BUSINESS|4597402875|AT|11400DC40383041EE043814FD881041E|1.0|||Y|20040205000000|Y|
BL|BUS|BUSINESS|4597402875|BA|11400DC40384041EE043814FD881041E|1.0|||Y|20040205000000|Y|
BL|BUS|BUSINESS|4597402875|CREQ|11400DC4038A041EE043814FD881041E|1.0|||N|20040205000000|Y|
BL|BUS|BUSINESS|4597402875|DI|11400DC40380041EE043814FD881041E|1.0|||Y|20040205000000|Y|
BL|BUS|BUSINESS|4597402875|DV|11400DC4038C041EE043814FD881041E|1.0|||N|20040205000000|Y|
BL|BUS|BUSINESS|4597402875|ERD|11400DC4037E041EE043814FD881041E|1.0|||Y|20040205000000|Y|
BL|BUS|BUSINESS|4597402875|GEC|11400DC4037F041EE043814FD881041E|1.0|||Y|20040205000000|Y|
BL|BUS|BUSINESS|4597402875|IB|11400DC40387041EE043814FD881041E|1.0|||Y|20040205000000|Y|
BL|BUS|BUSINESS|4597402875|PCDO|11400DC40385041EE043814FD881041E|1.0|||Y|20040205000000|Y|
BL|BUS|BUSINESS|4597402875|SACC|11400DC40388041EE043814FD881041E|1.0|||Y|20040205000000|Y|
BL|BUS|BUSINESS|4597402875|SACD|11400DC40386041EE043814FD881041E|1.0|||Y|20040205000000|Y|
BL|BUS|BUSINESS|4597402875|SOBJ|11400DC40389041EE043814FD881041E|1.0|||Y|20040205000000|Y|
BL|BUS|BUSINESS|4597402875|TF|11400DC40381041EE043814FD881041E|1.0|||Y|20040205000000|Y|
BL|BUS|BUSINESS|6272309454|CREQ|11400DC4038E041EE043814FD881041E|1.0|||Y|20040205000000|Y|
BL|BUS|BUSINESS|6272309454|DV|11400DC4038F041EE043814FD881041E|1.0|||Y|20040205000000|Y|
BL|CLAS|GLOB|3651402735|KFS|11400DC3F497041EE043814FD881041E|1.0|||Y|19980219000000|Y|
BL|CSCI|GLOBAL DEL|2625401275|CREQ|11400DC3FF41041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|2625401275|ERD|11400DC3FF43041EE043814FD881041E|1.0|0.0|0.0|N|20050128000000|Y|
BL|CSCI|GLOBAL DEL|2625401275|PCDO|11400DC3FF42041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|A21|11400DC3FF57041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|ACCT|11400DC3FF51041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|AR|11400DC3FF5A041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|AT|11400DC3FF5B041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|AV|11400DC3FF44041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|BA|11400DC3FF48041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|BSIA|11400DC3FF45041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|BSIB|11400DC3FF46041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|BSIT|11400DC3FF47041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|BT|11400DC3FF58041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|CRM|11400DC3FF56041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|DI|11400DC3FF4A041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|DV|11400DC3FF49041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|ELR|11400DC3FF5C041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|ERD|11400DC3FF5E041EE043814FD881041E|1.0|0.0|0.0|N|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|FR|11400DC3FF5D041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|GACC|11400DC3FF53041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|GEC|11400DC3FF4B041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|IB|11400DC3FF4D041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|ICA|11400DC3FF4C041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
BL|CSCI|GLOBAL DEL|3270009216|ND|11400DC3FF4E041EE043814FD881041E|1.0|0.0|0.0|Y|20050128000000|Y|
