code|nm|actv_ind|ver_nbr|obj_id|
APTS|Apartment|Y|1.0|BD96AA24156F5898E040540A5EFD3A74|
BARR|Barracks|Y|1.0|BD96AA2415715898E040540A5EFD3A74|
CAMP|Camping|Y|1.0|BD96AA2415725898E040540A5EFD3A74|
DORM|Dormitory|Y|1.0|BD96AA2415705898E040540A5EFD3A74|
HOTL|Hotel|Y|1.0|BD96AA24156D5898E040540A5EFD3A74|
HOUS|House|Y|1.0|BD96AA24156E5898E040540A5EFD3A74|
MOTL|Motel|Y|1.0|BD96AA2415735898E040540A5EFD3A74|
OTHR|Other|Y|1.0|BD96AA2415755898E040540A5EFD3A74|
UNKN|Unknown|Y|1.0|BD96AA2415745898E040540A5EFD3A74|
